"Brood_year","rearing_type","n","tot","freq"
2004,"AME",4,29,0.137931034482759
2004,"DEL",2,29,0.0689655172413793
2004,"LAS",11,29,0.379310344827586
2004,"SAC",11,29,0.379310344827586
2004,"X",1,29,0.0344827586206897
2005,"AME",21,90,0.233333333333333
2005,"DEL",22,90,0.244444444444444
2005,"LAS",14,90,0.155555555555556
2005,"SAC",32,90,0.355555555555556
2005,"X",1,90,0.0111111111111111
2006,"AME",12,67,0.17910447761194
2006,"DEL",9,67,0.134328358208955
2006,"LAS",7,67,0.104477611940299
2006,"SAC",38,67,0.567164179104478
2006,"X",1,67,0.0149253731343284
2011,"AME",1,7,0.142857142857143
2011,"DEL",1,7,0.142857142857143
2011,"SAC",5,7,0.714285714285714
2012,"AME",29,315,0.0920634920634921
2012,"DEL",46,315,0.146031746031746
2012,"LAS",16,315,0.0507936507936508
2012,"SAC",222,315,0.704761904761905
2012,"X",2,315,0.00634920634920635
2013,"AME",1,154,0.00649350649350649
2013,"DEL",3,154,0.0194805194805195
2013,"LAS",7,154,0.0454545454545455
2013,"SAC",143,154,0.928571428571429
2014,"AME",7,39,0.179487179487179
2014,"DEL",4,39,0.102564102564103
2014,"LAS",1,39,0.0256410256410256
2014,"SAC",27,39,0.692307692307692
2015,"AME",1,4,0.25
2015,"SAC",3,4,0.75
